ID,ファイル名,施設名,場所,イベント名,競技,ｲﾍﾞﾝﾄ内容,開催日,実施時間,申込方法,費用,対象,最寄駅,住所,電話,問い合わせ,ＵＲＬ,最近身体が痛いな…,身体の状態を知りたい!,やせたい!,きれいになりたい!,新感覚!?,みんなでワイワイ!,一人で参加OK!,若者には負けないぞ!,親子でエンジョイ!,子どもに運動を!,まずは体験!,習いたい!
60,プール,東淀川屋内プール,プール,ウォーターバルーン体験,その他,直径1メートルから2メートルのバルーンの中に入り、歩く体験。,10/9(祝),13:30~14:15/14:30~15:15/15:30~16:15,当日会場へ先着順20組,無料,どなたでも,阪急「淡路」駅,東淀川区東淡路1-4-53,電話:06-6325-5077,電話:06-6325-5077,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/higashiyodo_pool/index.html,,,,,1,,1,,,,1,
61,プール,東淀川屋内プール,プール,ヌードル無料貸し出し,水中エクササイズ,発泡スチロールの棒を使用して行う運動。,10/9(祝),11:30~11:45/12:30~12:45/14:00~14:15/15:00~15:15/16:00~16:15,当日会場へ定員なし,無料,どなたでも,阪急「淡路」駅,東淀川区東淡路1-4-53,電話:06-6325-5077,電話:06-6325-5077,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/higashiyodo_pool/index.html,,,,1,,,1,1,,,,
62,プール,東淀川屋内プール,スタジオ,体力測定,体力・身体測定,体力測定,10/9(祝),9:30~10:30/14:00~15:00/17:30~18:30,当日会場へ定員なし,無料(施設利用料除く),どなたでも,阪急「淡路」駅,東淀川区東淡路1-4-53,電話:06-6325-5077,電話:06-6325-5077,http://osakashi.opas.jp/genre/swim/hokubu_nishiyodogawaku_yodogawaku_higashiyodogawaku/higashiyodo_pool/index.html,1,1,,,,,1,,,,,
63,プール,生野屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄・JR「鶴橋」駅,生野区桃谷3-8-18,電話:06-6731-7381,電話:06-6731-7381,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/ikunookunaipool/index.html,,,,,,,1,,1,1,,
64,プール,生野屋内プール,スタジオ,ジムでの無料体力測定会,体力・身体測定,ジムでの無料体力測定会,10/9(祝),10:00~20:00(最終受付19:30),当日会場へ,無料,16歳以上,地下鉄・JR「鶴橋」駅,生野区桃谷3-8-18,電話:06-6731-7381,電話:06-6731-7381,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/ikunookunaipool/index.html,1,1,,,,,1,,,,,
65,プール,旭屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「関目高殿」駅,旭区高殿6-14-6,電話:06-6955-6491,電話:06-6955-6491,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/asahiokunaipool/index.html,,,,,,,1,,1,1,,
66,プール,旭屋内プール,プール,アクアエクササイズ,水中エクササイズ,フロートやビート板を使いながらの簡単な水中筋力トレーニング。,10/9(祝),14:00~14:30,当日会場へ先着順20名,無料,どなたでも,地下鉄「関目高殿」駅,旭区高殿6-14-6,電話:06-6955-6491,電話:06-6955-6491,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/asahiokunaipool/index.html,,,,1,,,1,1,,,,
67,プール,旭屋内プール,プール,大人水泳体験教室(クロール・背泳ぎ),水泳,基礎練習の体験。,10/9(祝),10:30~11:30,当日会場へ先着順13名,無料,16歳以上,地下鉄「関目高殿」駅,旭区高殿6-14-6,電話:06-6955-6491,電話:06-6955-6491,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/asahiokunaipool/index.html,,,,,,,1,1,,,1,
68,プール,旭屋内プール,プール,大人水泳体験教室(バタフライ・平泳ぎ),水泳,基礎練習の体験。,10/9(祝),10:30~11:30,当日会場へ先着順13名,無料,16歳以上,地下鉄「関目高殿」駅,旭区高殿6-14-6,電話:06-6955-6491,電話:06-6955-6491,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/asahiokunaipool/index.html,,,,,,,1,1,,,1,
69,プール,城東屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),京阪「野江」駅/地下鉄「蒲生四丁目」駅,城東区関目2-17-45,電話:06-4255-0230,電話:06-4255-0230,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/jotookunaipool/index.html,,,,,,,1,,1,1,,
70,プール,城東屋内プール,トレーニングルーム,体組成測定会＆かんたんカウンセリング,体力・身体測定,体組成測定器を使用して、自身の「カラダ」を知ってもらい、簡単なカウンセリングを実施。,10/9(祝),9:00~21:00,当日会場へ,無料,16歳以上,京阪「野江」駅/地下鉄「蒲生四丁目」駅,城東区関目2-17-45,電話:06-4255-0230,電話:06-4255-0230,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/jotookunaipool/index.html,1,1,,,,,1,,,,,
71,プール,鶴見緑地プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~18:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「鶴見緑地」駅,鶴見区緑地公園1-37,電話:06-6915-4721,電話:06-6915-4721,http://osakashi.opas.jp/genre/swim/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/tsurumiryokuchipool/index.html,,,,,,,1,,1,1,,
72,プール,阿倍野屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「阿倍野」駅,阿倍野区阿倍野筋3-13-23,電話:06-6636-7290,電話:06-6636-7290,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/abenookunaipool/index.html,,,,,,,1,,1,1,,
73,プール,阿倍野屋内プール,プール,水中ウォーキング,水中エクササイズ,水中を歩く運動。,10/9(祝),11:00~11:30,事前受付(先着順)H29.10.1受付開始電話・来館20名,無料,中学生以上,地下鉄「阿倍野」駅,阿倍野区阿倍野筋3-13-23,電話:06-6636-7290,電話:06-6636-7290,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/abenookunaipool/index.html,,,,1,,,1,1,,,,
74,プール,住吉屋内プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~18:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「あびこ」駅,住吉区浅香1-8-15,電話:06-6694-9201,電話:06-6694-9201,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/sumiyoship/index.html,,,,,,,1,,1,1,,
75,プール,住吉屋内プール,トレーニングルーム,無理なく全身シェイプアップとコンディショニング,エクササイズ,ラジオ体操、ストレッジ、上半身、下半身をそれぞれ使う運動。,10/9(祝),9:15~10:45/12:30~14:00/15:00~16:35,当日会場へ先着順各回20名,無料(施設利用料は必要),16歳以上,地下鉄「あびこ」駅,住吉区浅香1-8-15,電話:06-6694-9201,電話:06-6694-9201,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/sumiyoship/index.html,1,,,1,,,1,,,,,
76,プール,長居プール,プール,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄「長居」駅,東住吉区長居公園1-1,電話:06-6609-1580,電話:06-6609-1580,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/pool/index.html,,,,,,,1,,1,1,,
77,プール,長居プール,プールエントランス,クライミングジム体験登録会,その他,クライミングのルールや使い方、楽しみ方の説明。グループにわかれて、クライミングを体験。,10/9(祝),10:00~12:00,事前(電話・来館)先着順15名,1000円,小学生以上※小・中学生は保護者同伴必要,地下鉄「長居」駅,東住吉区長居公園1-1,電話:06-6609-1580,電話:06-6609-1580,http://osakashi.opas.jp/genre/swim/nambu_abenoku_suminoeku_sumiyoshiku_higashisumiyoshiku_hiranoku_nishinariku/pool/index.html,,,,,1,,1,,1,1,1,
78,スポーツセンター,北スポーツセンター,,バドミントン・卓球開放,バドミントン,バドミントン開放(第1体育場)卓球開放(第2体育場),10/9(祝),9:15~11:00/11:15~13:00/13:15~15:00/15:15~17:00,当日受付,無料,どなたでも,阪急・地下鉄「中津」駅,北区中津3-4-27,電話:06-6359-0700,電話:06-6359-0700,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/kita_spocen/index.html,,,,,,1,1,1,,,,
79,スポーツセンター,北スポーツセンター,,バドミントン・卓球開放,卓球,バドミントン開放(第1体育場)卓球開放(第2体育場),10/9(祝),9:15~11:00/11:15~13:00/13:15~15:00/15:15~17:00,当日受付,無料,どなたでも,阪急・地下鉄「中津」駅,北区中津3-4-27,電話:06-6359-0700,電話:06-6359-0700,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/kita_spocen/index.html,,,,,,1,1,1,,,,
80,スポーツセンター,北スポーツセンター,,健康体操,体操,イスを使った簡単な運動(多目的室),10/9(祝),10:00~10:45,当日受付先着15名,無料,16歳以上,阪急・地下鉄「中津」駅,北区中津3-4-27,電話:06-6359-0700,電話:06-6359-0700,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/kita_spocen/index.html,1,,,,,,1,1,,,,
81,スポーツセンター,北スポーツセンター,,リズムエアロ＆ストレッチ,エクササイズ,音楽に合わせて体を動かす運動とにストレッチ(多目的室),10/9(祝),13:30~14:30,当日受付先着15名,無料,16歳以上,阪急・地下鉄「中津」駅,北区中津3-4-27,電話:06-6359-0700,電話:06-6359-0700,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/kita_spocen/index.html,1,,,1,,,1,,,,,
82,スポーツセンター,都島スポーツセンター,,体力測定とニュースポーツ・障がい者スポーツ体験,体力・身体測定,・体力測定(握力、上体起こし、垂直とび他・ニュースポーツ体験(スリーアイズ、ドッヂビー他),10/9(祝),10:00~15:00,当日受付,無料,どなたでも,地下鉄「都島」駅,都島区中野町5-15-21,電話:06-6927-9124,都島区スポーツ推進委員協議会電話:090-3702-2923,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/miyakojimasportscenter/index.html,1,1,,,,,1,,,,1,
83,スポーツセンター,都島スポーツセンター,,体力測定とニュースポーツ・障がい者スポーツ体験,ニュースポーツ,・体力測定(握力、上体起こし、垂直とび他・ニュースポーツ体験(スリーアイズ、ドッヂビー他),10/9(祝),10:00~15:00,当日受付,無料,どなたでも,地下鉄「都島」駅,都島区中野町5-15-21,電話:06-6927-9124,都島区スポーツ推進委員協議会電話:090-3702-2923,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/miyakojimasportscenter/index.html,,,,,1,1,1,,,,1,
84,スポーツセンター,都島スポーツセンター,,卓球開放DAY,卓球,卓球開放(第2体育場),10/9(祝),10:00~11:30/11:40~13:10/13:20~14:50/15:00~16:30/16:40~18:10,当日受付,無料,どなたでも,地下鉄「都島」駅,都島区中野町5-15-21,電話:06-6927-9124,都島スポーツセンター電話:06-6927-9124,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/miyakojimasportscenter/index.html,,,,,,1,1,1,,,,
85,スポーツセンター,都島スポーツセンター,,フットサル開放DAY,サッカー・フットサル,フットサル開放(第1体育場),10/9(祝),16:00~18:00/18:00~20:00,,無料,,地下鉄「都島」駅,都島区中野町5-15-21,電話:06-6927-9124,都島スポーツセンター電話:06-6927-9124,http://osakashi.opas.jp/genre/Table_tennis/tobu_miyakojimaku_higashinariku_ikunoku_jotoku_tsurumiku/miyakojimasportscenter/index.html,,,,,,1,1,,,,,
86,スポーツセンター,福島スポーツセンター,,ソフトバレーボール・卓球無料開放,ニュースポーツ,ソフトバレーボール無料開放卓球無料開放,10/9(祝),10:00~14:00,当日受付・先着順,無料,どなたでも,地下鉄「野田阪神」駅,福島区吉野3-17-23,電話:06-6468-0450,福島区コミュニティ協会電話:06-6468-1771,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/fukushimasprotscenter/index.html,,,,,1,1,1,,,,,
87,スポーツセンター,福島スポーツセンター,,ソフトバレーボール・卓球無料開放,卓球,ソフトバレーボール無料開放卓球無料開放,10/9(祝),10:00~14:00,当日受付・先着順,無料,どなたでも,地下鉄「野田阪神」駅,福島区吉野3-17-23,電話:06-6468-0450,福島区コミュニティ協会電話:06-6468-1771,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/fukushimasprotscenter/index.html,,,,,,1,1,1,,,,
88,スポーツセンター,福島スポーツセンター,,バドミントン・卓球開放DAY,バドミントン,バドミントン、卓球開放,10/9(祝),15:30~17:00/17:00~18:30,,無料,,地下鉄「野田阪神」駅,福島区吉野3-17-23,電話:06-6468-0450,福島スポーツセンター電話:06-6468-0450,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/fukushimasprotscenter/index.html,,,,,,1,1,1,,,,
89,スポーツセンター,福島スポーツセンター,,バドミントン・卓球開放DAY,卓球,バドミントン、卓球開放,10/9(祝),15:30~17:00/17:00~18:30,,無料,,地下鉄「野田阪神」駅,福島区吉野3-17-23,電話:06-6468-0450,福島スポーツセンター電話:06-6468-0450,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/fukushimasprotscenter/index.html,,,,,,1,1,1,,,,
90,スポーツセンター,福島区民センター,,体力測定,体力・身体測定,体力測定,10/9(祝),10:00~14:00,当日受付・先着順,無料,どなたでも,地下鉄「野田阪神」駅,福島区吉野3-17-23,電話:06-6468-1771,福島区コミュニティ協会電話:06-6468-1771,,1,1,,,,,1,,,,,
91,スポーツセンター,此花スポーツセンター,,バドミントン・卓球開放,バドミントン,バドミントン開放(第1体育場)卓球開放(第2体育場),10/9(祝),9:30~/11:30~13:30~/15:30~/17:30~,当日受付・先着順,無料,どなたでも,JR・阪神「西九条」駅,此花区西九条6-1-27,電話:06-6465-5800,フィットネス21此花スポーツセンター電話:06-6465-5800,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanasportscenter/index.html,,,,,,1,1,1,,,,
92,スポーツセンター,此花スポーツセンター,,バドミントン・卓球開放,卓球,バドミントン開放(第1体育場)卓球開放(第2体育場),10/9(祝),9:30~/11:30~13:30~/15:30~/17:30~,当日受付・先着順,無料,どなたでも,JR・阪神「西九条」駅,此花区西九条6-1-27,電話:06-6465-5800,フィットネス21此花スポーツセンター電話:06-6465-5800,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanasportscenter/index.html,,,,,,1,1,1,,,,
93,スポーツセンター,此花スポーツセンター,,血管年齢測定,体力・身体測定,指先で血管年齢の測定(講師控室),10/9(祝),10:00~12:00,,無料,20歳以上,JR・阪神「西九条」駅,此花区西九条6-1-27,電話:06-6465-5800,フィットネス21此花スポーツセンター電話:06-6465-5800,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/konohanasportscenter/index.html,1,1,,,,,1,,,,,
94,スポーツセンター,中央スポーツセンター,,硬式テニス施設開放,テニス,硬式テニス開放(第1体育場)※硬式テニスはテニスコート1面とサブスペースにて時間交代制でフリー利用(ラケット・ボールのレンタル有)※体育館シューズ着用,10/9(祝),9:30~10:50/11:00~12:20/12:30~13:50/14:00~15:20/15:30~16:50/17:00~18:20,当日受付・先着順(各開始時間の30分前より受付開始),無料,どなたでも(15歳以下は保護者同伴),地下鉄「長堀橋」駅,中央区島之内2-12-31,電話:06-6211-2010,中央スポーツセンター電話:06-6211-2010,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_spocen/index.html,,,,,,,1,1,1,,,
95,スポーツセンター,中央スポーツセンター,,卓球施設開放,卓球,卓球開放(第2体育場)※卓球は時間内グループにてフリー利用(ラケット・ボールのレンタル有)※体育館シューズ着用,10/9(祝),13:30~14:50/15:00~16:20/16:30~17:50,当日受付・先着順(各開始時間の30分前より受付開始),無料,どなたでも(15歳以下は保護者同伴),地下鉄「長堀橋」駅,中央区島之内2-12-31,電話:06-6211-2010,中央スポーツセンター電話:06-6211-2010,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_spocen/index.html,,,,,,,1,1,1,,,
96,スポーツセンター,中央スポーツセンター,,リラックスヨガ,ヨガ,やさしいヨガ(第2体育場),10/9(祝),9:30~10:30,当日受付・先着順,無料,16歳以上,地下鉄「長堀橋」駅,中央区島之内2-12-31,電話:06-6211-2010,中央スポーツセンター電話:06-6211-2010,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_spocen/index.html,,,,1,,,1,1,,,,
97,スポーツセンター,中央スポーツセンター,,さわやか健康体操,体操,ストレッチやリズム体操(第2体育場),10/9(祝),10:45~11:30,当日受付・先着順,無料,16歳以上,地下鉄「長堀橋」駅,中央区島之内2-12-31,電話:06-6211-2010,中央スポーツセンター電話:06-6211-2010,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_spocen/index.html,1,,,,,,1,1,,,,
98,スポーツセンター,中央スポーツセンター,,キッズダンス,エクササイズ,ダンスの体験,10/9(祝),12:00~13:00,当日受付・先着順,無料,小学生・中学生,地下鉄「長堀橋」駅,中央区島之内2-12-31,電話:06-6211-2010,中央スポーツセンター電話:06-6211-2010,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tyuuou_spocen/index.html,,,,1,,,1,,,1,1,
99,スポーツセンター,西スポーツセンター,,バドミントン開放DAY,バドミントン,バドミントン開放(第1体育場),10/9(祝),9:30~/11:00~/12:30~/14:00~/15:30~/17:00~/18:30~,当日受付先着順(各回6団体),無料,どなたでも,地下鉄「阿波座」駅,西区立売堀4-10-18,電話:06-6538-3413,西スポーツセンター電話:06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html,,,,,,1,1,1,,,,
100,スポーツセンター,西スポーツセンター,,卓球開放DAY,卓球,卓球開放(第2体育場),10/9(祝),14:00~/15:30~/17:00~/18:30~,当日受付先着順(各回6団体),無料,,地下鉄「阿波座」駅,西区立売堀4-10-18,電話:06-6538-3413,西スポーツセンター電話:06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html,,,,,,1,1,1,,,,
101,スポーツセンター,西スポーツセンター,,親子体操教室体験会,体操,リズム体操、サーキットトレーニングを親子で体験(第2体育場),10/9(祝),9:30~10:45,当日受付先着順(定員30組),無料,1歳から5歳のお子様と保護者,地下鉄「阿波座」駅,西区立売堀4-10-18,電話:06-6538-3413,西スポーツセンター電話:06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html,,,,,,,,,1,1,1,
102,スポーツセンター,西スポーツセンター,,太極拳教室体験会,エクササイズ,太極拳とリズムを組み合わせた健康体操(多目的室),10/9(祝),,当日受付先着順(定員30名),無料,16歳以上,地下鉄「阿波座」駅,西区立売堀4-10-18,電話:06-6538-3413,西スポーツセンター電話:06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html,,,,1,,,1,,,,1,
103,スポーツセンター,西スポーツセンター,,コアダンス教室体験会,エクササイズ,基本のステップのダンス体験(第2体育場),10/9(祝),11:00~12:00,当日受付先着順(定員20名),無料,,地下鉄「阿波座」駅,西区立売堀4-10-18,電話:06-6538-3413,西スポーツセンター電話:06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html,,,,1,,,1,,,,1,
104,スポーツセンター,西スポーツセンター,,ヨガ教室体験会,ヨガ,ストレッチの要素も取り入れ、程よく筋肉を刺激し、代謝をアップさせる運動(多目的室),10/9(祝),,当日受付先着順(定員20名),無料,,地下鉄「阿波座」駅,西区立売堀4-10-18,電話:06-6538-3413,西スポーツセンター電話:06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html,,,,1,,,1,1,,,1,
105,スポーツセンター,西スポーツセンター,,レクリエーションイベント,ニュースポーツ,ユニカール、クロリティ、シャッフルボードのニュースポーツを体験(多目的室),10/9(祝),14:00~17:00,当日受付,無料,どなたでも(小学生未満の方は保護者同伴),地下鉄「阿波座」駅,西区立売堀4-10-18,電話:06-6538-3413,西スポーツセンター電話:06-6538-3413,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/nishisportscenter/index.html,,,,,1,1,1,,1,1,1,
106,スポーツセンター,港スポーツセンター,,バドミントン・卓球開放,バドミントン,バドミントン・卓球開放,10/9(祝),10:30~12:00/12:30~14:00/14:30~16:00/16:30~18:00,当日受付先着順,無料,どなたでも,地下鉄「朝潮橋」駅,港区田中3-1-128,電話:06-6576-4081,港スポーツセンター電話:06-6576-4081,http://osakashi.opas.jp/chikubetu/seibu/minato/minatosportscenter/index.html,,,,,,1,1,1,,,,
107,スポーツセンター,港スポーツセンター,,バドミントン・卓球開放,卓球,バドミントン・卓球開放,10/9(祝),10:30~12:00/12:30~14:00/14:30~16:00/16:30~18:00,当日受付先着順,無料,どなたでも,地下鉄「朝潮橋」駅,港区田中3-1-128,電話:06-6576-4081,港スポーツセンター電話:06-6576-4081,http://osakashi.opas.jp/chikubetu/seibu/minato/minatosportscenter/index.html,,,,,,1,1,1,,,,
108,スポーツセンター,港スポーツセンター,,ストレッチルーム開放,その他,ストレッチルーム開放,10/9(祝),10:30~18:00,当日受付,無料,どなたでも,地下鉄「朝潮橋」駅,港区田中3-1-128,電話:06-6576-4081,港スポーツセンター電話:06-6576-4081,http://osakashi.opas.jp/chikubetu/seibu/minato/minatosportscenter/index.html,,,,1,,,1,1,,,,
109,スポーツセンター,大正スポーツセンター,,バドミントン＆卓球開放,バドミントン,バドミントン開放卓球開放,10/9(祝),10:00~16:00,当日受付先着順,無料,どなたでも,市バス「小林」バス停,大正区小林東3-3-25,電話:06-6555-8402,大正スポーツセンター電話:06-6555-8402,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/taishosportscenter/index.html,,,,,,1,1,1,,,,
110,スポーツセンター,大正スポーツセンター,,バドミントン＆卓球開放,卓球,バドミントン開放卓球開放,10/9(祝),10:00~16:00,当日受付先着順,無料,どなたでも,市バス「小林」バス停,大正区小林東3-3-25,電話:06-6555-8402,大正スポーツセンター電話:06-6555-8402,http://osakashi.opas.jp/genre/Table_tennis/seibu_minatoku_taisyoku_hukushimaku_konohanaku/taishosportscenter/index.html,,,,,,1,1,1,,,,
111,スポーツセンター,アゼリア大正,,ニュースポーツ体験,ニュースポーツ,スリータッチソフトバレーボールストラックアウトフロアーカーリングドッヂビー,10/9(祝),10:00~12:00/13:00~15:00,当日受付,無料,どなたでも,市バス「小林」バス停,大正区小林東3-3-25,電話:06-6552-9713,大正スポーツセンター電話:06-6555-8402,,,,,,1,1,1,,,,1,
112,スポーツセンター,大正屋内プール,,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),市バス「小林」バス停,大正区小林東3-3-25,電話:06-6555-8950,大正屋内プール電話:06-6555-8950,http://osakashi.opas.jp/genre/swim/seibu_minatoku_taisyoku_hukushimaku_konohanaku/taishookunaipool/index.html,,,,,,,1,,1,1,,
113,スポーツセンター,天王寺スポーツセンター,,少年少女卓球教室,卓球,午前:ピン球遊び、基本的打法練習午後:実践ゲーム形式練習,10/9(祝),10:00~16:00,事前(往復はがき)・先着順(9/29締切)200名,無料,市内在住・在学の小中学生(小学生は保護者同伴),地下鉄・JR「玉造」駅,天王寺区真田山町5-109,電話:06-6765-0043,NPO法人大阪卓球協会電話:06-6636-0801,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tennoji_sportscenter/index.html,,,,,,,1,1,1,1,,
114,スポーツセンター,天王寺スポーツセンター,,バドミントン開放,バドミントン,バドミントン開放,10/9(祝),10:00~11:45/13:00~14:45/15:00~16:45,当日受付,無料,どなたでも,地下鉄・JR「玉造」駅,天王寺区真田山町5-109,電話:06-6765-0043,天王寺スポーツセンター電話:06-6765-0043,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/tennoji_sportscenter/index.html,,,,,,1,1,1,,,,
115,スポーツセンター,真田山プール,,無料開放,水泳,無料開放,10/9(祝),9:00~20:30,当日会場へ,無料,どなたでも(小学4年生以下は保護者(16歳以上)同伴。また保護者1人につき子ども3人まで),地下鉄・JR「玉造」駅,天王寺区真田山町5-109,電話:06-6765-0176,真田山プール電話:06-6765-0176,http://osakashi.opas.jp/genre/swim/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/sanadayama_pool/index.html,,,,,,,1,,1,1,,
116,スポーツセンター,浪速スポーツセンター,,バトントワーリング体験教室,その他,バトントワーリングの体験練習の見学も可能,10/9(祝),10:00~17:00,当日受付,無料,どなたでも,地下鉄「なんば」駅,浪速区難波中3-8-8,電話:06-6643-6444,大阪バトン協会電話:06-6765-3131,http://osakashi.opas.jp/genre/Table_tennis/tyubu_kitaku_tyuoku_nishiku_tennojiku_naniwaku/naniwa_spocen/index.html,,,,,,,1,,,,1,1
